raceId,year,round,name,date,time
926,2015,1,Australian Grand Prix,3/15/2015,5:00:00
927,2015,2,Malaysian Grand Prix,3/29/2015,7:00:00
928,2015,3,Chinese Grand Prix,4/12/2015,6:00:00
929,2015,4,Bahrain Grand Prix,4/19/2015,15:00:00
930,2015,5,Spanish Grand Prix,5/10/2015,12:00:00
931,2015,6,Monaco Grand Prix,5/24/2015,12:00:00
932,2015,7,Canadian Grand Prix,6/7/2015,18:00:00
933,2015,8,Austrian Grand Prix,6/21/2015,12:00:00
934,2015,9,British Grand Prix,7/5/2015,12:00:00
936,2015,10,Hungarian Grand Prix,7/26/2015,12:00:00
937,2015,11,Belgian Grand Prix,8/23/2015,12:00:00
938,2015,12,Italian Grand Prix,9/6/2015,12:00:00
939,2015,13,Singapore Grand Prix,9/20/2015,12:00:00
940,2015,14,Japanese Grand Prix,9/27/2015,5:00:00
941,2015,15,Russian Grand Prix,10/11/2015,11:00:00
942,2015,16,United States Grand Prix,10/25/2015,19:00:00
943,2015,17,Mexican Grand Prix,11/1/2015,19:00:00
944,2015,18,Brazilian Grand Prix,11/15/2015,16:00:00
945,2015,19,Abu Dhabi Grand Prix,11/29/2015,13:00:00
948,2016,1,Australian Grand Prix,3/20/2016,5:00:00
949,2016,2,Bahrain Grand Prix,4/3/2016,15:00:00
950,2016,3,Chinese Grand Prix,4/17/2016,6:00:00
951,2016,4,Russian Grand Prix,5/1/2016,12:00:00
952,2016,5,Spanish Grand Prix,5/15/2016,12:00:00
953,2016,6,Monaco Grand Prix,5/29/2016,12:00:00
954,2016,7,Canadian Grand Prix,6/12/2016,18:00:00
955,2016,8,European Grand Prix,6/19/2016,13:00:00
956,2016,9,Austrian Grand Prix,7/3/2016,12:00:00
957,2016,10,British Grand Prix,7/10/2016,12:00:00
958,2016,11,Hungarian Grand Prix,7/24/2016,12:00:00
959,2016,12,German Grand Prix,7/31/2016,12:00:00
960,2016,13,Belgian Grand Prix,8/28/2016,12:00:00
961,2016,14,Italian Grand Prix,9/4/2016,12:00:00
962,2016,15,Singapore Grand Prix,9/18/2016,12:00:00
963,2016,16,Malaysian Grand Prix,10/2/2016,7:00:00
964,2016,17,Japanese Grand Prix,10/9/2016,5:00:00
965,2016,18,United States Grand Prix,10/23/2016,19:00:00
966,2016,19,Mexican Grand Prix,10/30/2016,19:00:00
967,2016,20,Brazilian Grand Prix,11/13/2016,16:00:00
968,2016,21,Abu Dhabi Grand Prix,11/27/2016,13:00:00
969,2017,1,Australian Grand Prix,3/26/2017,5:00:00
970,2017,2,Chinese Grand Prix,4/9/2017,6:00:00
971,2017,3,Bahrain Grand Prix,4/16/2017,15:00:00
972,2017,4,Russian Grand Prix,4/30/2017,12:00:00
973,2017,5,Spanish Grand Prix,5/14/2017,12:00:00
974,2017,6,Monaco Grand Prix,5/28/2017,12:00:00
975,2017,7,Canadian Grand Prix,6/11/2017,18:00:00
976,2017,8,Azerbaijan Grand Prix,6/25/2017,13:00:00
977,2017,9,Austrian Grand Prix,7/9/2017,12:00:00
978,2017,10,British Grand Prix,7/16/2017,12:00:00
979,2017,11,Hungarian Grand Prix,7/30/2017,12:00:00
980,2017,12,Belgian Grand Prix,8/27/2017,12:00:00
981,2017,13,Italian Grand Prix,9/3/2017,12:00:00
982,2017,14,Singapore Grand Prix,9/17/2017,12:00:00
983,2017,15,Malaysian Grand Prix,10/1/2017,7:00:00
984,2017,16,Japanese Grand Prix,10/8/2017,5:00:00
985,2017,17,United States Grand Prix,10/22/2017,19:00:00
986,2017,18,Mexican Grand Prix,10/29/2017,19:00:00
987,2017,19,Brazilian Grand Prix,11/12/2017,16:00:00
988,2017,20,Abu Dhabi Grand Prix,11/26/2017,13:00:00
989,2018,1,Australian Grand Prix,3/25/2018,5:10:00
990,2018,2,Bahrain Grand Prix,4/8/2018,15:10:00
991,2018,3,Chinese Grand Prix,4/15/2018,6:10:00
992,2018,4,Azerbaijan Grand Prix,4/29/2018,12:10:00
993,2018,5,Spanish Grand Prix,5/13/2018,13:10:00
994,2018,6,Monaco Grand Prix,5/27/2018,13:10:00
995,2018,7,Canadian Grand Prix,6/10/2018,18:10:00
